driverId,driver_number,driver_code,first_name,last_name,date_of_birth,nationality
albon,23,ALB,Alexander,Albon,1996-03-23,Thai
alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish
antonelli,12,ANT,Andrea Kimi,Antonelli,2006-08-25,Italian
paul_aron,,,Paul,Aron,,
bearman,87,BEA,Oliver,Bearman,2005-05-08,British
dino_beganovic,,,Dino,Beganovic,,
bortoleto,5,BOR,Gabriel,Bortoleto,2004-10-14,Brazilian
luke_browning,,,Luke,Browning,,
colapinto,43,COL,Franco,Colapinto,2003-05-27,Argentine
jak_crawford,,,Jak,Crawford,,
doohan,7,DOO,Jack,Doohan,2003-01-20,Australian
felipe_drugovich,,,Felipe,Drugovich,,
alexander_dunne,,,Alexander,Dunne,,
antonio_fuoco,,,Antonio,Fuoco,,
gasly,10,GAS,Pierre,Gasly,1996-02-07,French
hadjar,6,HAD,Isack,Hadjar,2004-09-28,French
hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British
ryo_hirakawa,,,Ryo,Hirakawa,,
hulkenberg,27,HUL,Nico,Hülkenberg,1987-08-19,German
ayumu_iwasa,,,Ayumu,Iwasa,,
lawson,30,LAW,Liam,Lawson,2002-02-11,New Zealander
leclerc,16,LEC,Charles,Leclerc,1997-10-16,Monegasque
arthur_leclerc,,,Arthur,Leclerc,,
arvid_lindblad,41,LIN,Arvid,Lindblad,2007-08-08,British
victor_martins,,,Victor,Martins,,
norris,1,NOR,Lando,Norris,1999-11-13,British
patricio_o_ward,,,Patricio,O'Ward,,
ocon,31,OCO,Esteban,Ocon,1996-09-17,French
piastri,81,PIA,Oscar,Piastri,2001-04-06,Australian
russell,63,RUS,George,Russell,1998-02-15,British
sainz,55,SAI,Carlos,Sainz,1994-09-01,Spanish
cian_shields,,,Cian,Shields,,
stroll,18,STR,Lance,Stroll,1998-10-29,Canadian
tsunoda,22,TSU,Yuki,Tsunoda,2000-05-11,Japanese
max_verstappen,3,VER,Max,Verstappen,1997-09-30,Dutch
frederik_vesti,,,Frederik,Vesti,,
