season,round,driver_id,constructor_id,driver_code,position_text,status,finishing_position,starting_position,race_points,laps_completed,fastest_lap,fastest_lap_time,fastest_lap_rank
2025,1,norris,mclaren,NOR,1,Finished,1,1,25,57,43,1:22.167,1
2025,1,max_verstappen,red_bull,VER,2,Finished,2,3,18,57,43,1:23.081,3
2025,1,russell,mercedes,RUS,3,Finished,3,4,15,57,43,1:25.065,11
2025,1,antonelli,mercedes,ANT,4,Finished,4,16,12,57,43,1:24.901,9
2025,1,albon,williams,ALB,5,Finished,5,6,10,57,43,1:24.597,8
2025,1,stroll,aston_martin,STR,6,Finished,6,13,8,57,43,1:25.538,14
2025,1,hulkenberg,sauber,HUL,7,Finished,7,17,6,57,43,1:25.243,12
2025,1,leclerc,ferrari,LEC,8,Finished,8,7,4,57,43,1:25.271,13
2025,1,piastri,mclaren,PIA,9,Finished,9,2,2,57,43,1:23.242,4
2025,1,hamilton,ferrari,HAM,10,Finished,10,8,1,57,43,1:24.218,7
2025,1,gasly,alpine,GAS,11,Finished,11,9,0,57,43,1:25.020,10
2025,1,tsunoda,rb,TSU,12,Finished,12,5,0,57,43,1:24.194,6
2025,1,ocon,haas,OCO,13,Finished,13,19,0,57,42,1:26.764,15
2025,1,bearman,haas,BEA,14,Finished,14,20,0,57,42,1:27.603,16
2025,1,lawson,red_bull,LAW,R,Retired,15,18,0,46,43,1:22.970,2
2025,1,bortoleto,sauber,BOR,R,Retired,16,15,0,45,43,1:24.192,5
2025,1,alonso,aston_martin,ALO,R,Retired,17,12,0,32,32,1:28.819,17
2025,1,sainz,williams,SAI,R,Retired,18,10,0,0,,,
2025,1,doohan,alpine,DOO,R,Retired,19,14,0,0,,,
2025,1,hadjar,rb,HAD,R,Retired,20,11,0,0,,,
2025,2,piastri,mclaren,PIA,1,Finished,1,1,25,56,53,1:35.520,3
2025,2,norris,mclaren,NOR,2,Finished,2,3,18,56,53,1:35.454,1
2025,2,russell,mercedes,RUS,3,Finished,3,2,15,56,55,1:35.816,5
2025,2,max_verstappen,red_bull,VER,4,Finished,4,4,12,56,56,1:35.488,2
2025,2,ocon,haas,OCO,5,Finished,5,11,10,56,56,1:35.740,4
2025,2,antonelli,mercedes,ANT,6,Finished,6,8,8,56,56,1:36.046,11
2025,2,albon,williams,ALB,7,Finished,7,10,6,56,52,1:36.254,12
2025,2,bearman,haas,BEA,8,Finished,8,17,4,56,52,1:36.363,13
2025,2,stroll,aston_martin,STR,9,Finished,9,14,2,56,39,1:36.044,10
2025,2,sainz,williams,SAI,10,Finished,10,15,1,56,50,1:36.779,15
2025,2,hadjar,rb,HAD,11,Finished,11,7,0,56,35,1:35.868,6
2025,2,lawson,red_bull,LAW,12,Finished,12,20,0,56,32,1:35.985,9
2025,2,doohan,alpine,DOO,13,Finished,13,18,0,56,52,1:36.424,14
2025,2,bortoleto,sauber,BOR,14,Lapped,14,19,0,55,28,1:35.874,8
